m1.kg,m2.kg,mc.kg,x.m,t.s,source
0.000,0.100,0.500,0.8,1.08,avalur
0.000,0.100,0.500,0.8,0.91,avalur
0.000,0.100,0.500,0.8,0.94,avalur
0.020,0.100,0.500,0.8,1.10,avalur
0.020,0.100,0.500,0.8,0.95,avalur
0.020,0.100,0.500,0.8,1.03,avalur
0.050,0.100,0.500,0.8,1.13,avalur
0.050,0.100,0.500,0.8,1.13,avalur
0.050,0.100,0.500,0.8,1.19,avalur
0.100,0.100,0.500,0.8,1.21,avalur
0.100,0.100,0.500,0.8,1.16,avalur
0.100,0.100,0.500,0.8,1.16,avalur
0.200,0.100,0.500,0.8,1.28,avalur
0.200,0.100,0.500,0.8,1.31,avalur
0.200,0.100,0.500,0.8,1.20,avalur
0.500,0.100,0.500,0.8,1.36,avalur
0.500,0.100,0.500,0.8,1.34,avalur
0.500,0.100,0.500,0.8,1.28,avalur
1.000,0.100,0.500,0.8,1.90,avalur
1.000,0.100,0.500,0.8,1.58,avalur
1.000,0.100,0.500,0.8,1.56,avalur